partID,measure,movement,leg,result_n,result_bw
A04,HorzPeak,Drop,Single,114.653889,0.15706012191780822
A04,HorzPeak,Step,Double,571.454422,0.7828142767123288
A04,HorzPeak,Step,Single,233.590179,0.3199865465753425
A04,HorzPeak,Dash,Double,607.600372,0.8323292767123287
A04,HorzPeak,Dash,Single,106.259289,0.1455606698630137
A04,HorzPeak,Kong,Double,760.527008,1.0418178191780822
A04,HorzPeak,Kong,Single,489.829224,0.6709989369863014
A04,HorzRFD,Drop,Double,14363,19.675342465753424
A04,HorzRFD,Drop,Single,6480,8.876712328767123
A04,HorzRFD,Step,Double,17143,23.483561643835618
A04,HorzRFD,Step,Single,13350,18.28767123287671
A04,HorzRFD,Dash,Double,37558,51.44931506849315
A04,HorzRFD,Dash,Single,7923,10.853424657534246
A04,HorzRFD,Kong,Double,44565,61.04794520547945
A04,HorzRFD,Kong,Single,36522,50.03013698630137
A04,ResultantPeak,Drop,Double,2261.811863169794,3.0983724153010876
A04,ResultantPeak,Drop,Single,2214.1449958581993,3.033075336792054
A04,ResultantPeak,Step,Double,2210.2264959162203,3.0277075286523565
A04,ResultantPeak,Step,Single,1796.4714047581094,2.4609197325453556
A04,ResultantPeak,Dash,Double,2251.1584655112606,3.083778719878439
A04,ResultantPeak,Dash,Single,1608.9473605160047,2.2040374801589104
A04,ResultantPeak,Kong,Double,2662.4751724846474,3.647226263677599
A04,ResultantPeak,Kong,Single,2303.08794633308,3.1549149949768216
A04,ResultantAngle,Drop,Double,82.35229494523752,82.35229494523752
A04,ResultantAngle,Drop,Single,99.41535797328787,99.41535797328787
A04,ResultantAngle,Step,Double,74.94283127966044,74.94283127966044
A04,ResultantAngle,Step,Single,91.31775418113722,91.31775418113722
A04,ResultantAngle,Dash,Double,74.34134789066069,74.34134789066069
A04,ResultantAngle,Dash,Single,89.17948208357296,89.17948208357296
A04,ResultantAngle,Kong,Double,73.67671112802994,73.67671112802994
A04,ResultantAngle,Kong,Single,98.17665642230446,98.17665642230446
A05,VertPeak,Drop,Double,2915.168579,4.605321609794629
A05,VertPeak,Drop,Single,2593.200867,4.096683834123223
A05,VertPeak,Step,Double,2386.314972,3.7698498767772515
A05,VertPeak,Step,Single,1707.849817,2.6980249873617694
A05,VertPeak,Dash,Double,2042.436554,3.2265980315955765
A05,VertPeak,Dash,Single,1215.090444,1.9195741611374406
A05,VertPeak,Kong,Double,3415.612274,5.395911965244866
A05,VertPeak,Kong,Single,4132.329254,6.528166278041074
A05,VertRFD,Drop,Double,240683,380.2259083728278
A05,VertRFD,Drop,Single,282456,446.21800947867297
A05,VertRFD,Step,Double,134260,212.10110584518168
A05,VertRFD,Step,Single,28098,44.388625592417064
A05,VertRFD,Dash,Double,55847,88.2259083728278
A05,VertRFD,Dash,Single,12975,20.497630331753555
A05,VertRFD,Kong,Double,106185,167.74881516587678
A05,VertRFD,Kong,Single,128558,203.09320695102684
A05,HorzPeak,Drop,Double,839.363129,1.3260081026856239
A05,HorzPeak,Drop,Single,619.529327,0.9787193159557661
A05,HorzPeak,Step,Double,664.548004,1.049838868878357
A05,HorzPeak,Step,Single,256.005589,0.4044322101105845
A05,HorzPeak,Dash,Double,486.231705,0.7681385545023697
A05,HorzPeak,Dash,Single,192.471268,0.30406203475513427
A05,HorzPeak,Kong,Double,916.737122,1.4482418988941548
A05,HorzPeak,Kong,Single,568.193138,0.8976194913112164
A05,HorzRFD,Drop,Double,74413,117.55608214849921
A05,HorzRFD,Drop,Single,65656,103.7219589257504
A05,HorzRFD,Step,Double,41943,66.260663507109
A05,HorzRFD,Step,Single,26771,42.292259083728275
A05,HorzRFD,Dash,Double,18332,28.96050552922591
A05,HorzRFD,Dash,Single,31055,49.06003159557662
A05,HorzRFD,Kong,Double,28124,44.42969984202212
A05,HorzRFD,Kong,Single,71793,113.41706161137441
A05,ResultantPeak,Drop,Double,3033.601540465318,4.792419495205873
A05,ResultantPeak,Drop,Single,2672.462981929552,4.221900445386338
A05,ResultantPeak,Step,Double,2477.119939609656,3.9133016423533267
A05,ResultantPeak,Step,Single,1713.778273306844,2.7073906371356147
A05,ResultantPeak,Dash,Double,2099.516217623146,3.3167712758659498
A05,ResultantPeak,Dash,Single,1217.444516530659,1.923293075087929
A05,ResultantPeak,Kong,Double,3536.497441982999,5.586883794601895
A05,ResultantPeak,Kong,Single,4133.562641083082,6.530114756845311
A05,ResultantAngle,Drop,Double,74.93104134754695,74.93104134754695
A05,ResultantAngle,Drop,Single,76.10715900799029,76.10715900799029
A05,ResultantAngle,Step,Double,74.43838730891159,74.43838730891159
A05,ResultantAngle,Step,Single,85.23287652412759,85.23287652412759
A05,ResultantAngle,Dash,Double,76.6091671329094,76.6091671329094
A05,ResultantAngle,Dash,Single,86.70591417303521,86.70591417303521
A05,ResultantAngle,Kong,Double,75.21892499111625,75.21892499111625
A05,ResultantAngle,Kong,Single,90.57037154494002,90.57037154494002
A06,VertPeak,Drop,Double,2998.402039,3.556823296559905
A06,VertPeak,Drop,Single,3024.870361,3.588221068801898
A06,VertPeak,Step,Double,3285.930176,3.897900564650059
A06,VertPeak,Step,Single,2637.928177,3.1292149193357055
A06,VertPeak,Dash,Double,3233.144287,3.8352838517200474
A06,VertPeak,Dash,Single,1623.056824,1.9253343107947805
A06,VertPeak,Kong,Double,4381.726807,5.197777944246738
A06,VertPeak,Kong,Single,3467.59314,4.113396370106761
A06,VertRFD,Drop,Double,58432,69.31435349940688
A06,VertRFD,Drop,Single,35784,42.44839857651245
A06,VertRFD,Step,Double,83623,99.19691577698696
A06,VertRFD,Step,Single,36832,43.691577698695134
A06,VertRFD,Dash,Double,83641,99.21826809015421
A06,VertRFD,Dash,Single,9537,11.313167259786477
A06,VertRFD,Kong,Double,101533,120.44246737841044
A06,VertRFD,Kong,Single,49922,59.219454329774614
A06,HorzPeak,Drop,Double,535.112183,0.6347712728351127
A06,HorzPeak,Drop,Single,214.702118,0.25468815895610913
A06,HorzPeak,Step,Double,651.535507,0.7728772325029657
A06,HorzPeak,Step,Single,303.859665,0.36045037366548044
A06,HorzPeak,Dash,Double,524.207733,0.6218359822064057
A06,HorzPeak,Dash,Single,94.528108,0.11213298695136419
A06,HorzPeak,Kong,Double,1129.759003,1.3401648908659547
A06,HorzPeak,Kong,Single,413.398193,0.490389315539739
A06,HorzRFD,Drop,Double,22077,26.18861209964413
A06,HorzRFD,Drop,Single,11074,13.136417556346382
A06,HorzRFD,Step,Double,15303,18.153024911032027
A06,HorzRFD,Step,Single,17927,21.265717674970343
A06,HorzRFD,Dash,Double,4426,5.250296559905101
A06,HorzRFD,Dash,Single,9516,11.288256227758007
A06,HorzRFD,Kong,Double,33168,39.345195729537366
A06,HorzRFD,Kong,Single,27924,33.12455516014235
A06,ResultantPeak,Drop,Double,3019.393107035,3.5817237331376037
A06,ResultantPeak,Drop,Single,3068.220182648682,3.6396443447789824
A06,ResultantPeak,Step,Double,3337.6542699552647,3.9592577342292583
A06,ResultantPeak,Step,Single,2645.484421563732,3.138178436018662
A06,ResultantPeak,Dash,Double,3239.498517040074,3.8428214911507403
A06,ResultantPeak,Dash,Single,1625.8721480022691,1.9286739596705447
A06,ResultantPeak,Kong,Double,4393.015940896825,5.21116956215519
A06,ResultantPeak,Kong,Single,3503.709647443866,4.156239202187266
A06,ResultantAngle,Drop,Double,85.08153570229992,85.08153570229992
A06,ResultantAngle,Drop,Single,99.64274515911394,99.64274515911394
